id,scan_type,label,score,subject,created_at
26,url,Likely Safe,0,www.makautexam.net,2026-07-19T14:52:06.241060
25,password,Strong,78,,2026-07-19T14:50:58.643239
24,password,Fair,65,,2026-07-19T14:50:54.865718
23,password,Weak,40,,2026-07-19T14:50:52.198617
22,password,Very Weak,25,,2026-07-19T14:50:51.397578
21,password,Very Weak,22,,2026-07-19T14:50:50.716631
20,password,Weak,48,,2026-07-19T14:50:47.711521
19,password,Weak,48,,2026-07-19T14:50:44.658629
18,password,Weak,48,,2026-07-19T14:50:42.461841
17,password,Weak,45,,2026-07-19T14:50:40.673636
16,password,Weak,40,,2026-07-19T14:50:38.446919
15,url,Likely Safe,0,web.whatsapp.com,2026-07-19T05:40:01.858499
14,url,Low Risk,15,www.google.com,2026-07-19T05:39:39.565153
13,url,Low Risk,15,www.google.com,2026-07-19T05:39:38.629402
12,url,Low Risk,15,www.google.com,2026-07-19T05:39:36.929560
11,url,Low Risk,15,huhwgash.com,2026-07-19T05:39:15.149725
10,url,Low Risk,15,huhwgash.com,2026-07-19T05:39:13.819834
9,url,Low Risk,15,boundhub.com,2026-07-19T05:38:58.388013
8,url,Low Risk,15,boundhub.com,2026-07-19T05:38:55.075868
7,url,Low Risk,15,pornzog.com,2026-07-19T05:38:40.197772
6,file,Clean,0,25300123078_Image_rep.pdf,2026-07-19T05:38:18.806830
5,password,Fair,58,,2026-07-19T05:37:47.351767
4,password,Fair,58,,2026-07-19T05:37:46.208636
3,password,Fair,58,,2026-07-19T05:37:44.974392
2,password,Weak,40,,2026-07-19T05:37:43.486086
1,password,Very Weak,25,,2026-07-19T05:37:41.710709
